----------- single_objective_10Cent_50 -----------
-------------------- 1 ---------------------
log: gen	nevals	mean  	min	max
17 	64    	339.96	317	579
18 	69    	350.62	317	611
19 	62    	335.99	317	494
20 	75    	334.37	317	545
21 	68    	338.96	317	569
22 	80    	338.01	317	525
23 	68    	339.53	317	549
24 	75    	336.12	317	515
25 	69    	330.42	317	518
26 	73    	339.44	317	553
27 	71    	336.85	317	515
28 	70    	330.36	317	503
29 	72    	329.35	317	479
30 	72    	333.77	317	575
31 	58    	325.07	317	477
32 	67    	342.33	317	670
33 	58    	333   	317	620
34 	62    	331.22	317	482
35 	63    	329.06	317	472
36 	70    	343.67	317	560
37 	77    	331.88	317	482
38 	66    	331.8 	317	479
39 	62    	332.82	317	503
40 	60    	331.58	317	516
41 	78    	331.3 	317	508
42 	74    	340.89	317	536
43 	66    	333.38	317	532
44 	69    	333.5 	317	508
45 	78    	337.48	317	571
46 	72    	328.1 	317	551
47 	72    	335.2 	317	515
48 	71    	329.82	317	490
49 	68    	337.9 	317	556
50 	71    	331.53	317	501
51 	74    	335.3 	317	551
52 	69    	330.98	317	501
53 	64    	336.49	317	550
54 	71    	341.21	317	551
55 	74    	330.87	317	479
56 	76    	332.66	317	575
57 	75    	324.59	317	494
58 	78    	335.56	317	564
59 	64    	329.36	317	513
60 	77    	336.4 	317	598
61 	63    	331.23	317	469
62 	66    	335.35	317	631
63 	74    	335.18	317	533
64 	59    	333.76	317	598
65 	65    	333.7 	317	508
66 	57    	334.44	317	543
67 	71    	333.05	317	541
68 	63    	331.69	317	518
69 	69    	333.27	317	550
70 	76    	330.52	317	508
71 	57    	334.39	317	639
72 	79    	339.46	317	577
73 	76    	336.31	317	536
74 	67    	332.66	317	527
75 	71    	337.78	317	617
76 	69    	336.22	317	554
77 	72    	342.36	317	554
78 	68    	338.23	317	538
79 	69    	336.57	317	535
80 	77    	337.3 	317	513
81 	63    	332.49	317	482
82 	75    	337.08	317	536
83 	70    	337.53	317	518
84 	68    	332.82	317	590
85 	72    	325.71	317	479
86 	74    	332.05	317	513
87 	68    	323.62	317	477
88 	70    	326.37	317	482
89 	69    	336.32	317	598
90 	71    	328.88	317	515
91 	64    	335.4 	317	527
92 	76    	329.76	317	490
93 	76    	339.33	317	549
94 	77    	343.03	317	632
95 	67    	337.85	317	523
96 	73    	338.05	317	559
97 	73    	343.33	317	613
98 	69    	328.01	317	530
99 	68    	331.45	317	522
100	73    	334.73	317	522
-------------------- 4 ---------------------
log: gen	nevals	mean  	min	max
0  	100   	543.93	426	644
1  	65    	498.15	389	669
2  	77    	468.47	389	603
3  	59    	445.08	367	562
4  	67    	431.43	367	607
5  	57    	412.49	339	522
6  	62    	401.33	339	589
7  	67    	383.9 	332	517
8  	73    	383.6 	332	551
9  	71    	370.46	306	562
10 	79    	359.59	306	547
11 	69    	345.17	306	491
12 	71    	334.55	306	519
13 	68    	329.26	306	573
14 	66    	328.26	306	529
15 	68    	323.46	306	548
16 	67    	319.65	306	484
17 	69    	328.47	306	561
18 	62    	326.68	306	504
19 	75    	316.9 	306	468
20 	71    	327.45	306	607
21 	71    	322.48	306	490
22 	71    	321.51	306	533
23 	72    	319.2 	306	484
24 	76    	318.79	306	468
25 	69    	325.76	306	504
26 	70    	327.4 	306	615
27 	62    	328.06	306	500
28 	74    	328.88	306	497
29 	67    	323.97	306	540
30 	75    	318.89	306	504
31 	67    	331.41	306	555
32 	72    	321.77	306	544
33 	59    	318.17	306	541
34 	69    	319.69	306	484
35 	66    	321.12	306	515
36 	79    	329.42	306	537
37 	58    	319.69	306	476
38 	81    	321.32	306	547
39 	56    	319.96	306	497
