----------- single_objective_10Cent_50 -----------
-------------------- 1 ---------------------
log: gen	nevals	mean  	min	max
0  	100   	543.45	387	662
1  	94    	509.51	371	619
2  	98    	485.83	371	601
3  	96    	475.76	345	620
4  	97    	450.3 	330	626
5  	100   	444.95	330	608
6  	96    	432.51	311	611
7  	98    	425.05	311	585
8  	95    	426.53	311	609
9  	92    	430.68	311	626
10 	96    	420.24	311	637
11 	94    	405.99	306	609
12 	95    	401.35	306	641
13 	93    	370.5 	306	527
14 	96    	368.46	306	549
15 	97    	365.35	306	559
16 	98    	353.38	306	597
17 	93    	334.69	306	504
18 	98    	334.11	306	542
19 	97    	350.25	306	601
20 	96    	339.96	306	540
21 	94    	340.61	306	497
22 	96    	344.25	306	540
23 	97    	346.37	306	579
24 	95    	341.42	306	539
25 	95    	348.62	306	632
26 	95    	341.69	306	634
27 	99    	349.26	306	563
28 	96    	339.97	306	573
29 	96    	330.62	306	547
30 	96    	336.93	306	532
31 	97    	341.08	306	650
32 	94    	336.05	306	604
33 	95    	343.27	306	512
34 	94    	329.49	306	472
35 	94    	336.13	306	620
36 	97    	340.75	306	544
37 	94    	334.91	306	497
38 	100   	343.84	306	633
39 	97    	340.28	306	575
40 	95    	338.84	306	572
41 	97    	345.35	306	536
42 	96    	344.58	306	532
43 	88    	333.41	306	535
44 	96    	339.66	306	557
45 	98    	342.74	306	558
46 	95    	338.56	306	574
47 	97    	341.39	306	632
48 	98    	340.87	306	567
49 	95    	337.95	306	503
50 	98    	332.64	306	574
51 	98    	352.09	306	578
52 	98    	340.63	306	545
53 	98    	337.71	306	534
54 	92    	342.34	306	588
55 	98    	330.7 	306	591
56 	97    	346.15	306	522
57 	97    	340.17	306	589
58 	98    	353.61	306	535
59 	98    	335.89	306	594
60 	90    	325.13	306	507
61 	93    	340.39	306	615
62 	97    	332.37	306	515
63 	94    	340.66	306	536
64 	95    	333.58	306	490
65 	99    	336.83	306	549
66 	92    	334.56	306	659
67 	97    	333.21	306	539
68 	95    	333.66	306	536
69 	99    	341.72	306	581
70 	96    	342.83	306	566
71 	98    	355.18	306	607
72 	98    	350.51	306	540
73 	98    	345.62	306	504
74 	94    	338.2 	306	524
75 	96    	341.84	306	555
76 	97    	331.64	306	484
77 	96    	334.18	306	521
78 	95    	340.09	306	535
79 	95    	347.45	306	527
80 	95    	345.85	306	597
81 	98    	348.73	306	615
82 	98    	345.75	306	506
83 	97    	341.81	306	504
84 	94    	343.64	306	504
85 	99    	345.63	306	544
86 	96    	347.03	306	519
87 	98    	350.72	306	572
88 	93    	345.89	306	597
89 	92    	342.3 	306	513
90 	94    	347.71	306	607
91 	94    	349.82	306	540
92 	98    	346.18	306	532
93 	95    	347.82	306	512
94 	95    	353.72	306	583
95 	98    	340.37	306	497
96 	97    	346.69	306	543
97 	96    	343.17	306	581
98 	98    	336.85	306	523
99 	96    	345.76	306	580
100	97    	334.55	306	611
-------------------- 2 ---------------------
log: gen	nevals	mean  	min	max
0  	100   	546.76	423	690
1  	93    	521.26	384	645
2  	98    	502.48	324	630
3  	95    	492.16	324	605
4  	99    	464.27	324	584
5  	97    	450.77	324	618
6  	89    	451.87	324	592
7  	94    	431.41	324	640
8  	93    	427.14	324	621
9  	97    	409.53	324	573
10 	97    	383.23	323	585
11 	97    	370.38	323	612
12 	96    	363.7 	323	635
13 	93    	362.34	323	579
14 	95    	364.12	323	546
15 	97    	373.28	323	523
16 	98    	371.97	323	496
17 	97    	387.73	323	559
18 	93    	386.51	323	621
19 	97    	375.61	312	608
20 	99    	372.09	312	618
21 	97    	361.99	312	554
22 	99    	355.78	312	572
23 	92    	349.1 	312	573
24 	94    	349.78	312	549
25 	96    	348.74	312	607
26 	89    	353.46	312	583
27 	96    	345.42	312	606
28 	99    	353.17	312	563
29 	98    	356.85	312	546
30 	95    	339.92	312	596
31 	97    	344.11	312	514
32 	97    	357.79	312	636
33 	98    	346.52	312	536
34 	93    	352.76	312	598
35 	96    	355.37	312	583
36 	95    	338.92	312	518
37 	91    	342.43	312	524
38 	98    	347.02	312	533
39 	96    	343.45	312	498
40 	97    	351.45	312	543
41 	96    	350.55	312	526
42 	95    	332.99	312	526
43 	97    	346.02	312	626
44 	92    	339.94	312	490
45 	97    	345.17	312	627
46 	98    	334.03	312	536
47 	92    	337.55	312	513
48 	96    	355.85	312	585
49 	98    	347.11	312	516
50 	95    	342.07	312	510
51 	98    	349.81	312	585
52 	94    	336.63	312	507
53 	94    	341.9 	312	526
54 	97    	347.06	312	583
55 	98    	347.46	312	546
56 	95    	335.19	312	516
57 	94    	343.4 	312	510
58 	95    	335.57	312	548
59 	98    	344.1 	312	513
60 	94    	338.62	312	586
61 	99    	345.45	312	578
62 	96    	345.54	312	545
63 	90    	341.07	312	533
64 	95    	347.85	312	573
65 	97    	349.01	312	564
66 	97    	344.12	312	572
67 	96    	344.63	312	660
68 	94    	337.87	312	508
69 	93    	347   	312	604
70 	96    	339.97	312	544
71 	96    	347.57	312	637
72 	95    	347.48	312	503
73 	96    	345.35	312	626
74 	95    	338.5 	312	525
75 	99    	348.9 	312	572
76 	90    	342.1 	312	530
77 	99    	352.27	312	597
78 	99    	338.21	312	513
79 	99    	355.8 	312	616
80 	94    	355.46	312	560
81 	96    	355.04	312	578
82 	95    	343.08	312	535
83 	98    	354.25	312	510
84 	98    	352.13	312	538
85 	99    	352.17	312	573
86 	96    	344.93	312	510
87 	92    	355.51	312	660
88 	97    	347.01	312	572
89 	97    	342.13	312	525
90 	97    	350.98	312	572
91 	95    	340.9 	312	578
92 	97    	340.52	312	600
93 	98    	346.33	312	569
94 	96    	347.15	312	510
95 	97    	350.64	312	503
96 	95    	341.41	312	525
97 	98    	340.22	312	546
98 	93    	353.99	312	549
99 	98    	350.97	312	522
100	95    	338.44	312	584
-------------------- 3 ---------------------
log: gen	nevals	mean  	min	max
0  	100   	538.17	386	664
1  	96    	510.67	366	656
2  	97    	496.66	350	613
3  	97    	482.55	361	624
4  	97    	465.72	361	628
5  	96    	457.23	336	590
6  	96    	441.2 	347	583
7  	95    	430.4 	324	550
8  	96    	432.17	324	580
9  	95    	415.49	324	587
10 	98    	406.08	324	559
11 	96    	395.31	311	532
12 	94    	381.45	311	636
13 	93    	371.07	311	632
14 	95    	374.26	324	581
15 	92    	360.61	324	561
16 	96    	358.98	324	577
17 	97    	356.55	324	527
18 	100   	361.74	324	585
19 	97    	362.79	324	596
20 	98    	359.26	324	539
21 	98    	358.13	324	524
22 	96    	356.3 	324	611
23 	92    	357.65	324	551
24 	96    	355.57	324	539
25 	96    	348.76	324	531
26 	98    	354.48	324	575
27 	94    	351.12	324	511
28 	95    	359.91	324	526
29 	93    	355.02	324	620
30 	97    	346.2 	324	515
31 	97    	354.63	324	524
32 	96    	352.91	324	500
33 	100   	360.93	324	518
34 	95    	356.29	324	625
35 	97    	364.55	324	606
36 	97    	361.75	324	563
37 	99    	357.36	324	486
38 	97    	353.92	324	593
39 	98    	343.46	324	503
40 	98    	356.66	324	544
41 	99    	356.87	324	543
42 	96    	354.12	324	546
43 	93    	361.56	324	564
44 	97    	347.47	324	593
45 	97    	350.5 	324	551
46 	93    	359.7 	324	626
47 	99    	347.9 	324	521
48 	97    	364.25	324	593
49 	98    	358.54	324	577
50 	95    	354.96	324	502
51 	98    	358.23	324	539
52 	98    	359.77	324	525
53 	96    	358.52	324	511
54 	94    	348.03	324	493
55 	98    	345.81	324	509
56 	95    	366.07	324	545
57 	95    	347.45	324	553
58 	98    	350.88	324	508
59 	91    	347.3 	324	488
60 	96    	356.9 	324	573
61 	93    	362.8 	324	596
62 	95    	359.58	324	529
63 	96    	371.04	324	519
64 	97    	361.06	324	560
65 	99    	367.85	324	552
66 	96    	358.76	324	553
67 	94    	355.96	324	593
68 	95    	358.17	324	541
69 	95    	356.64	324	586
70 	97    	361.24	324	623
71 	95    	356.99	324	547
72 	96    	358.42	324	585
73 	100   	364.59	324	540
74 	95    	353.5 	324	555
75 	97    	346.19	324	483
76 	97    	360.14	324	533
77 	94    	351.58	324	476
78 	97    	356.9 	324	596
79 	98    	359.07	324	596
80 	99    	355.11	324	507
81 	99    	355.3 	324	550
82 	97    	357.39	324	552
83 	95    	352.62	324	569
84 	99    	360.88	324	496
85 	98    	357.72	324	566
86 	95    	360.7 	324	596
87 	92    	352.82	324	526
88 	96    	348.95	324	538
89 	98    	360.21	324	573
90 	93    	362.12	324	626
91 	96    	359.17	324	504
92 	96    	359.46	324	551
93 	96    	348.44	324	510
94 	96    	355.09	324	526
95 	93    	355.23	324	496
96 	92    	356.08	324	585
97 	96    	350.74	324	547
98 	97    	346.67	324	483
99 	96    	363.22	324	552
100	92    	367.6 	324	564
-------------------- 4 ---------------------
log: gen	nevals	mean  	min	max
0  	100   	546.15	418	654
1  	94    	514.91	428	618
2  	96    	496.75	386	647
3  	93    	480.01	384	639
4  	97    	472.45	369	649
5  	95    	462.38	364	602
6  	95    	449.73	363	585
7  	94    	439.11	363	553
8  	97    	426.66	335	603
9  	97    	424.2 	324	573
10 	97    	402.82	324	593
11 	91    	398.28	324	567
12 	95    	387.19	324	613
13 	94    	370.18	324	539
14 	95    	374.6 	324	534
15 	97    	356.42	324	571
16 	97    	349.38	324	521
17 	96    	368.22	324	545
18 	97    	368.78	324	658
19 	95    	359.65	324	596
20 	96    	349.35	324	526
21 	94    	359.39	324	635
22 	92    	349.63	324	496
23 	98    	352.82	324	505
24 	98    	364.54	324	506
25 	96    	351.3 	324	517
26 	96    	351.62	324	524
27 	97    	355.52	324	529
28 	97    	362.93	324	587
29 	97    	357.2 	324	493
30 	98    	356.12	324	516
31 	95    	350.31	324	631
32 	95    	356.92	324	548
33 	97    	361.25	324	538
34 	99    	351.11	324	517
35 	89    	357.75	324	589
36 	97    	353.06	324	575
37 	96    	350.61	324	613
38 	98    	358.54	324	624
39 	99    	361.92	324	571
40 	98    	364.73	324	580
41 	96    	362.61	324	575
42 	96    	351.01	324	488
43 	95    	356.68	324	565
44 	98    	346.66	324	509
45 	96    	359.37	324	544
46 	97    	367.37	324	558
47 	99    	364.59	324	567
48 	93    	358.89	324	526
49 	96    	346.68	324	499
50 	94    	351.59	324	509
51 	97    	352.7 	324	508
52 	95    	353.45	324	496
53 	98    	363.69	324	534
54 	94    	356.9 	324	558
55 	92    	358.55	324	585
56 	92    	361.81	324	546
57 	96    	352.02	324	566
58 	96    	361.07	324	545
59 	97    	359.94	324	548
60 	97    	356.69	324	536
61 	93    	364.78	324	627
62 	97    	352.88	324	541
63 	98    	360.76	324	609
64 	99    	362.74	324	555
65 	96    	358.65	324	575
66 	96    	366.43	324	536
67 	91    	350.92	324	544
68 	98    	362.1 	324	623
69 	97    	355.74	324	521
70 	94    	357.78	324	635
71 	93    	362.38	324	591
72 	95    	356.16	324	591
73 	92    	361.91	324	635
74 	97    	344.41	324	493
75 	99    	360.11	324	520
76 	96    	357.93	324	625
77 	97    	345.57	324	493
78 	96    	348.74	324	537
79 	96    	368.24	324	571
80 	98    	365.37	324	596
81 	97    	353.25	324	536
82 	92    	362.82	324	540
83 	96    	362.67	324	515
84 	97    	353.24	324	510
85 	92    	349.26	324	502
86 	92    	353.35	324	529
87 	98    	351.48	324	496
88 	94    	341.79	324	496
89 	99    	358.87	324	560
90 	95    	350.03	324	508
91 	98    	353.87	324	539
92 	94    	359.45	324	508
93 	94    	356.95	324	563
94 	98    	360.5 	324	520
95 	99    	359.23	324	594
96 	97    	355.96	324	516
97 	95    	357.64	324	522
98 	94    	346.74	324	551
99 	96    	354.37	324	588
100	97    	357.45	324	511
-------------------- 5 ---------------------
log: gen	nevals	mean  	min	max
0  	100   	551.6 	379	662
1  	91    	507.65	379	603
2  	94    	492.85	372	653
3  	98    	489.7 	379	601
4  	96    	470.44	379	647
5  	94    	462.74	355	587
6  	97    	451.06	351	621
7  	98    	448.07	351	576
8  	95    	444.46	355	659
9  	97    	438.19	355	601
10 	97    	434.18	347	646
11 	97    	424.51	347	546
12 	96    	418.53	324	624
13 	97    	411.35	347	529
14 	95    	406.84	347	566
15 	99    	410.9 	338	560
16 	98    	421.68	347	600
17 	96    	412.2 	336	586
18 	96    	388.94	336	623
19 	98    	375.53	327	557
20 	95    	376.65	324	569
21 	95    	372.17	335	516
22 	94    	369.71	327	505
23 	96    	367.65	324	548
24 	94    	366.49	324	550
25 	95    	365.33	324	586
26 	99    	363.7 	324	572
27 	95    	367.5 	324	643
28 	95    	354.42	324	635
29 	96    	364.73	324	553
30 	96    	353.08	324	540
31 	95    	352.84	324	530
32 	99    	356.75	324	601
33 	97    	355.86	324	522
34 	93    	348.94	324	633
35 	97    	350.78	324	574
36 	93    	348.86	324	553
37 	96    	350.93	324	496
38 	92    	356.41	324	521
39 	91    	357.38	324	527
40 	89    	359.55	324	594
41 	97    	355.22	324	541
42 	98    	356.89	324	567
43 	95    	357.1 	324	540
44 	95    	364.79	324	522
45 	98    	359.27	324	551
46 	95    	357.9 	324	551
47 	92    	365.11	324	559
48 	97    	359.48	324	601
49 	94    	350.63	324	486
50 	96    	357.1 	324	613
51 	95    	358   	324	536
52 	96    	366.06	324	527
53 	98    	360.44	324	510
54 	98    	363.28	324	571
55 	95    	360.98	324	635
56 	93    	351.35	324	506
57 	98    	356.83	324	593
58 	98    	354.61	324	516
59 	96    	354.65	324	515
60 	97    	355.46	324	601
61 	97    	349.83	324	501
62 	96    	367.25	324	504
63 	94    	362.41	324	496
64 	95    	349.31	324	504
65 	97    	366.74	324	594
66 	96    	355.66	324	577
67 	98    	360.21	324	497
68 	97    	361.91	324	536
69 	96    	360.62	324	514
70 	96    	357.44	324	516
71 	100   	364.03	324	550
72 	96    	344.08	324	496
73 	96    	356.64	324	538
74 	96    	359.4 	324	573
75 	96    	357.99	324	537
76 	99    	357.38	324	569
77 	97    	366.57	324	520
78 	94    	353.5 	324	546
79 	96    	362.17	324	577
80 	95    	361.81	324	536
81 	91    	348.53	324	508
82 	97    	351.88	324	512
83 	97    	358.47	324	596
84 	92    	358.21	324	625
85 	94    	350.85	324	540
86 	94    	360.67	324	580
87 	95    	358.59	324	587
88 	95    	358.24	324	544
89 	96    	357.35	324	549
90 	98    	362.11	324	519
91 	97    	361.93	324	598
92 	95    	351.48	324	496
93 	98    	352   	324	500
94 	92    	357.37	324	562
95 	96    	348.99	324	496
96 	97    	357.7 	324	608
97 	95    	355.38	324	494
98 	96    	344.7 	324	486
99 	94    	365.58	324	541
100	98    	368.9 	324	496
-------------------- 6 ---------------------
log: gen	nevals	mean  	min	max
0  	100   	547.12	405	693
1  	96    	514.04	403	623
2  	94    	480.2 	376	633
3  	96    	473.64	366	638
4  	97    	467.95	343	609
