----------- single_objective_10Cent_50 -----------
-------------------- 1 ---------------------
log: gen	nevals	mean  	min	max
17 	64    	343.71	317	592
18 	69    	341.54	317	642
19 	62    	331.76	317	477
20 	75    	332.37	317	513
21 	68    	340.82	317	536
22 	80    	338.67	317	523
23 	68    	339.07	317	546
24 	75    	336.65	317	513
25 	69    	330.34	317	554
26 	73    	337.55	317	524
27 	71    	336.46	317	508
28 	70    	331.66	317	495
29 	72    	330.25	317	495
30 	72    	334.1 	317	575
31 	58    	324.26	317	463
32 	67    	342.72	317	670
33 	58    	333.94	317	621
34 	62    	331.58	317	509
35 	63    	329.94	317	515
36 	70    	343.84	317	572
37 	77    	332.48	317	515
38 	66    	332.23	317	528
39 	62    	332.03	317	512
40 	60    	331.96	317	499
41 	78    	332.64	317	508
42 	74    	339.85	317	551
43 	66    	333.5 	317	515
44 	69    	334.61	317	527
45 	78    	336.55	317	562
46 	72    	328.29	317	541
47 	72    	333.71	317	472
48 	71    	329.31	317	513
49 	68    	337.4 	317	575
50 	71    	330.2 	317	482
51 	74    	336.04	317	584
52 	69    	330.98	317	533
53 	64    	336.17	317	578
54 	71    	340.36	317	536
55 	74    	330.03	317	495
56 	76    	332.86	317	554
57 	75    	325.35	317	501
58 	78    	335.17	317	569
59 	64    	329.77	317	545
60 	77    	337.37	317	631
61 	63    	330.5 	317	477
62 	66    	336.81	317	598
63 	74    	335.1 	317	482
64 	59    	333.35	317	639
65 	65    	336.09	317	527
66 	57    	332.16	317	504
67 	71    	333.83	317	551
68 	63    	330.79	317	482
69 	69    	335.47	317	550
70 	76    	330.21	317	508
71 	57    	332.06	317	575
72 	79    	337.23	317	550
73 	76    	335.96	317	551
74 	67    	332.46	317	559
75 	71    	336.1 	317	558
76 	69    	334.43	317	518
77 	72    	342.68	317	528
78 	68    	338.97	317	526
79 	69    	336.17	317	537
80 	77    	339.04	317	515
81 	63    	330.51	317	501
82 	75    	337.01	317	518
83 	70    	339.4 	317	554
84 	68    	333.03	317	606
85 	72    	326.94	317	510
86 	74    	332.44	317	508
87 	68    	323.3 	317	421
88 	70    	326.42	317	501
89 	69    	335.3 	317	631
90 	71    	329.67	317	509
91 	64    	334.98	317	545
92 	76    	329.73	317	477
93 	76    	339.75	317	551
94 	77    	343.33	317	612
95 	67    	337.27	317	525
96 	73    	337.28	317	517
97 	73    	341.05	317	568
98 	69    	326.7 	317	508
99 	68    	330.66	317	538
100	73    	335.4 	317	513
-------------------- 4 ---------------------
log: gen	nevals	mean  	min	max
0  	100   	548.38	404	665
1  	65    	500.89	411	622
2  	77    	486.45	362	604
3  	59    	452.27	362	575
4  	67    	439.88	362	597
5  	57    	410.44	325	599
6  	62    	388.72	325	536
7  	67    	381.68	325	561
8  	73    	357   	325	537
9  	71    	347.49	325	619
10 	79    	345.71	325	587
11 	69    	333.27	325	499
12 	71    	332.86	325	504
13 	68    	342.85	325	600
14 	66    	345.47	325	524
15 	68    	341.7 	325	560
16 	67    	338.02	325	523
17 	69    	345.16	325	564
18 	62    	345.03	325	523
19 	75    	334.36	325	495
20 	71    	344.61	325	548
21 	71    	339.82	325	494
22 	71    	338.53	325	524
23 	72    	336.86	325	523
24 	76    	337.26	325	495
25 	69    	342.24	325	523
26 	70    	345.21	325	592
27 	62    	345.06	325	526
28 	74    	346.66	325	509
29 	67    	341.55	325	536
30 	75    	336.93	325	523
31 	67    	349.21	325	566
32 	72    	340.48	325	532
33 	59    	338.12	325	523
34 	69    	339.15	325	523
35 	66    	339.77	325	542
36 	79    	345.95	325	536
37 	58    	338.29	325	512
38 	81    	337.67	325	540
39 	56    	338.11	325	510
40 	60    	334.23	325	479
41 	66    	337.63	325	510
42 	72    	339.49	325	486
43 	67    	340.5 	325	509
44 	75    	349.79	325	509
45 	60    	336.94	325	509
46 	76    	334.21	325	509
47 	67    	341.14	325	555
48 	64    	340.78	325	523
49 	71    	334   	325	512
50 	68    	340.81	325	583
51 	61    	350.94	325	609
52 	66    	334.69	325	586
53 	68    	343.55	325	553
54 	60    	336.04	325	550
55 	77    	336.18	325	578
56 	78    	343.28	325	523
57 	71    	338.61	325	544
58 	76    	346.19	325	510
59 	67    	342.83	325	586
60 	77    	340.5 	325	523
61 	60    	336.3 	325	523
62 	74    	342.84	325	542
63 	65    	338.36	325	559
64 	76    	339.12	325	510
65 	67    	341.2 	325	561
66 	63    	339.54	325	523
67 	65    	333.99	325	548
68 	71    	336.03	325	532
69 	81    	347.44	325	538
70 	75    	338.13	325	545
71 	70    	341.71	325	496
72 	68    	333.37	325	504
73 	66    	338.41	325	555
74 	64    	333.63	325	495
75 	70    	336.81	325	600
76 	72    	337.64	325	509
77 	75    	343.69	325	537
78 	67    	345.21	325	512
79 	69    	338.66	325	473
80 	80    	346.53	325	523
81 	61    	347.9 	325	569
82 	66    	346.93	325	523
83 	67    	335.48	325	509
84 	77    	342.06	325	531
85 	79    	345.87	325	575
86 	70    	344.37	325	557
87 	68    	354.89	325	613
88 	75    	341.95	325	509
89 	60    	336.62	325	550
90 	65    	337.61	325	523
91 	73    	342.36	325	570
92 	75    	342.8 	325	559
93 	68    	331.7 	325	523
94 	64    	340.15	325	523
95 	84    	347.73	325	584
96 	68    	339.9 	325	495
97 	76    	351.02	325	640
98 	66    	338.89	325	486
99 	71    	338.43	325	570
100	69    	345.03	325	581
-------------------- 5 ---------------------
log: gen	nevals	mean  	min	max
